Treatment,Plot Number,Quadrat Number,Fenced,Gap,Life Form,Species Name,0,3,6
Control,4,15,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,1,0
Control,4,15,False,False,Medium Tufted grass/sedge,Poa spp,0,0,0
Control,4,15,False,False,Non-tufted Ground Fern,Pteridium esculentum,0,3,0
Control,4,15,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,15,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,15,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,4,15,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,1,0
Control,4,15,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,3,0
Control,4,15,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,0,0
Control,4,15,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,15,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,4,16,False,True,Climber,Glycine clandestina,0,0,0
Control,4,16,False,True,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,16,False,True,Large Forb/Herb,Lomandra longifolia,25,32,35
Control,4,16,False,True,Large Forb/Herb,Senecio spp,0,3,0
Control,4,16,False,True,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,16,False,True,Medium Forb/Herb,Centaurium erythraea,0,1,0
Control,4,16,False,True,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,4,16,False,True,Medium Forb/Herb,Cotula australis,0,1,0
Control,4,16,False,True,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,16,False,True,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,16,False,True,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,16,False,True,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,16,False,True,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,16,False,True,Medium Forb/Herb,Oxalis sp 2.,0,3,0
Control,4,16,False,True,Medium Forb/Herb,Poranthera microphylla,0,3,0
Control,4,16,False,True,Medium Non-tufted grass/sedge,Microlaena stipoides,0,3,3
Control,4,16,False,True,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,16,False,True,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,16,False,True,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,6,0
Control,4,16,False,True,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,3,0
Control,4,16,False,True,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,4,16,False,True,Small Tufted grass/sedge,Rytidosperma spp.,3,6,0
Control,4,17,False,False,Climber,Glycine clandestina,0,0,0
Control,4,17,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,17,False,False,Large Forb/Herb,Lomandra longifolia,3,7,0
Control,4,17,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,17,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,17,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,17,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,4,17,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,17,False,False,Medium Non-tufted grass/sedge,Poa sp (green hairy),0,0,0
Control,4,17,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,0
Control,4,17,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,17,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,17,False,False,Small Tufted grass/sedge,Luzula meridionalis,0,0,0
Control,4,17,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,3
Control,4,17,False,False,Small Tufted grass/sedge,Rytidosperma spp.,25,7,0
Control,4,18,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,18,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,18,False,False,Large Forb/Herb,Lomandra longifolia,35,35,25
Control,4,18,False,False,Large Forb/Herb,Senecio phelleus,0,0,0
Control,4,18,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Dianella revoluta s.l.,3,0,0
Control,4,18,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,18,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,18,False,False,Medium Forb/Herb,Lomandra glauca,0,3,0
Control,4,18,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,18,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,18,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,0,0
Control,4,18,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,18,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,18,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,0
Control,4,18,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,4,18,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,4,18,False,False,Small Tufted grass/sedge,Luzula meridionalis,0,3,0
Control,4,18,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,18,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,3,0
Control,4,18,False,False,Tufted Ground Fern,Cheilanthes austrotenuifolia,0,0,0
Control,4,19,False,False,Large Forb/Herb,Arthropodium strictum,0,0,0
Control,4,19,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,19,False,False,Large Forb/Herb,Lomandra longifolia,25,35,45
Control,4,19,False,False,Large Forb/Herb,Senecio phelleus,0,0,0
Control,4,19,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,19,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Daucus glochidiatus,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,19,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,19,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,19,False,False,Medium Forb/Herb,Oxalis sp 2.,0,3,0
Control,4,19,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,4,19,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,19,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,19,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,4,19,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,0,0
Control,4,19,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,19,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,4,19,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,19,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,3,0
Control,4,20,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,20,False,False,Large Forb/Herb,Lomandra longifolia,0,25,15
Control,4,20,False,False,Large Forb/Herb,Senecio spp,0,3,3
Control,4,20,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,20,False,False,Medium Forb/Herb,Centaurium erythraea,0,3,0
Control,4,20,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,20,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,20,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,20,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,20,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,20,False,False,Medium Forb/Herb,Oxalis sp 2.,0,0,0
Control,4,20,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,4,20,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,20,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,3
Control,4,20,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,3,3,0
Control,4,20,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,20,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,4,20,False,False,Small Tufted grass/sedge,Carex spp,0,0,0
Control,4,20,False,False,Small Tufted grass/sedge,Rytidosperma caespitosum,0,0,0
Control,4,20,False,False,Small Tufted grass/sedge,Rytidosperma spp.,7,7,0
Control,4,20,False,False,Tiny Tufted grass/sedge,Isolepsis marginata,0,0,0
Control,4,21,False,False,Climber,Glycine clandestina,0,0,0
Control,4,21,False,False,Large Forb/Herb,Conyza sumatrensis,3,0,0
Control,4,21,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,21,False,False,Large Forb/Herb,Lomandra longifolia,45,0,35
Control,4,21,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,4,21,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,21,False,False,Large Tufted grass/sedge,Austrostipa spp,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Gamochaeta sp,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Hypericum gramineum,0,3,0
Control,4,21,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,21,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,21,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,4,21,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,21,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,7,3,0
Control,4,21,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,21,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,21,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,4,21,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,4,21,False,False,Small Tufted grass/sedge,Luzula meridionalis,0,0,0
Control,4,21,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,21,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,4,22,False,False,Large Forb/Herb,Arthropodium strictum,0,0,0
Control,4,22,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,22,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,22,False,False,Large Forb/Herb,Lomandra longifolia,35,35,25
Control,4,22,False,False,Large Forb/Herb,Senecio phelleus,0,0,0
Control,4,22,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,22,False,False,Large Forb/Herb,Sonchus spp,0,0,0
Control,4,22,False,False,Large Forb/Herb,Tricoryne elatior,0,0,0
Control,4,22,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Bulbine bulbosa,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Lagenophora spp,0,3,0
Control,4,22,False,False,Medium Forb/Herb,Laxmannia gracilis,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Medicago spp.,0,0,0
Control,4,22,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,22,False,False,Medium Forb/Herb,Poranthera microphylla,3,0,0
Control,4,22,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,22,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,22,False,False,Medium Tufted grass/sedge,Imperata cylindrica,0,0,0
Control,4,22,False,False,Medium Tufted grass/sedge,Poa labillardieri,0,0,0
Control,4,22,False,False,Medium Tufted grass/sedge,Poa spp,0,3,0
Control,4,22,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,22,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,4,22,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,4,22,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,22,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,3
Control,4,22,False,False,Small Tufted grass/sedge,Rytidosperma spp.,7,3,0
Control,4,23,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,23,False,False,Large Forb/Herb,Lomandra longifolia,7,15,15
Control,4,23,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,23,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,23,False,False,Large Tufted grass/sedge,Austrostipa spp,0,0,0
Control,4,23,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,23,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,4,23,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,23,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,23,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,23,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,23,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,23,False,False,Prostrate or Mat-forming Forb/Herb,Cymbonotis sp,0,0,0
Control,4,23,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,23,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,23,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,4,23,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,23,False,False,Small Tufted grass/sedge,Rytidosperma spp.,25,7,0
Control,4,23,False,False,Small Tufted grass/sedge,Vulpia sp.,0,0,0
Control,4,24,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,24,False,False,Large Forb/Herb,Lomandra longifolia,15,25,15
Control,4,24,False,False,Large Forb/Herb,Senecio phelleus,0,0,0
Control,4,24,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,24,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Stellaria media,0,0,0
Control,4,24,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,24,False,False,Medium Tufted grass/sedge,Poa spp,0,0,0
Control,4,24,False,False,Non-tufted Ground Fern,Pteridium esculentum,0,0,0
Control,4,24,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,24,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,24,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,3,0
Control,4,24,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,24,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,24,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,3,0
Control,4,25,False,False,Climber,Glycine clandestina,3,3,0
Control,4,25,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,25,False,False,Large Forb/Herb,Lomandra longifolia,35,15,25
Control,4,25,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,4,25,False,False,Large Forb/Herb,Wahlenbergia spp,0,3,0
Control,4,25,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,25,False,False,Medium Forb/Herb,Oxalis sp 2.,0,3,0
Control,4,25,False,False,Medium Forb/Herb,Poranthera microphylla,0,3,0
Control,4,25,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,25,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,25,7,0
Control,4,25,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,25,False,False,Prostrate or Mat-forming Forb/Herb,Desmodium gunnii,0,0,0
Control,4,25,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,3
Control,4,25,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,3,0
Control,4,25,False,False,Prostrate or Mat-forming Forb/Herb,Oxalis sp (weed),0,0,0
Control,4,25,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,25,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,4,26,False,False,Climber,Glycine clandestina,0,3,0
Control,4,26,False,False,Large Forb/Herb,Arthropodium minus,0,0,0
Control,4,26,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,26,False,False,Large Forb/Herb,Lomandra longifolia,25,35,35
Control,4,26,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,4,26,False,False,Large Forb/Herb,Wahlenbergia gracilis,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Anagallis arvensis,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Centaurium erythraea,0,3,0
Control,4,26,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Geranium spp,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,26,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,26,False,False,Medium Forb/Herb,Poranthera microphylla,0,0,0
Control,4,26,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,26,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,0,3
Control,4,26,False,False,Medium Tufted grass/sedge,Austrostipa scabra,0,0,0
Control,4,26,False,False,Medium Tufted grass/sedge,Poa spp,0,0,0
Control,4,26,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,26,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,0
Control,4,26,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,26,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,26,False,False,Small Tufted grass/sedge,Carex spp,0,0,0
Control,4,26,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,3
Control,4,26,False,False,Small Tufted grass/sedge,Rytidosperma spp.,3,3,0
Control,4,27,False,False,Large Forb/Herb,Arthropodium strictum,0,0,0
Control,4,27,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,27,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,27,False,False,Large Forb/Herb,Lomandra longifolia,55,45,35
Control,4,27,False,False,Large Forb/Herb,Senecio phelleus,0,0,0
Control,4,27,False,False,Large Forb/Herb,Senecio quadridentatus,0,0,0
Control,4,27,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,4,27,False,False,Large Forb/Herb,Sonchus spp,0,0,0
Control,4,27,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Gamochaeta sp,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Hypericum gramineum,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Lagenophora spp,0,3,0
Control,4,27,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,27,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,27,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,3,0,0
Control,4,27,False,False,Medium Tufted grass/sedge,Poa labillardieri,0,0,0
Control,4,27,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,27,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,0
Control,4,27,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,27,False,False,Small Non-tufted grass/sedge,Aira spp.,0,0,0
Control,4,27,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,4,27,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,27,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,4,28,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,28,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,28,False,False,Large Forb/Herb,Lomandra longifolia,15,25,25
Control,4,28,False,False,Large Forb/Herb,Senecio spp,0,0,0
Control,4,28,False,False,Large Forb/Herb,Wahlenbergia spp,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Hypochaeris radicata,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Hypochaeris spp,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,28,False,False,Medium Forb/Herb,Stellaria spp.,0,0,0
Control,4,28,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,28,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,28,False,False,Prostrate or Mat-forming Forb/Herb,Hydrocotyle spp,0,0,0
Control,4,28,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,4,28,False,False,Small Tufted grass/sedge,Briza minor,0,0,0
Control,4,28,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,28,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,0,0
Control,4,28,False,False,Small Tufted grass/sedge,Vulpia sp.,0,0,0
Control,4,29,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,29,False,False,Large Forb/Herb,Dipodium spp,0,0,0
Control,4,29,False,False,Large Forb/Herb,Lomandra longifolia,25,3,45
Control,4,29,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,29,False,False,Large Forb/Herb,Wahlenbergia spp,0,3,0
Control,4,29,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,29,False,False,Medium Forb/Herb,Cerastium glomeratum,0,0,0
Control,4,29,False,False,Medium Forb/Herb,Cotula australis,0,3,0
Control,4,29,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,29,False,False,Medium Forb/Herb,Euchiton spp,0,0,0
Control,4,29,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,4,29,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,29,False,False,Medium Forb/Herb,Lagenophora spp,0,3,0
Control,4,29,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,29,False,False,Medium Non-tufted grass/sedge,Microlaena stipoides,0,0,0
Control,4,29,False,False,Medium Tufted grass/sedge,Themeda triandra,0,0,0
Control,4,29,False,False,Prostrate or Mat-forming Forb/Herb,Crassula sieberiana,0,0,0
Control,4,29,False,False,Prostrate or Mat-forming Forb/Herb,Crassula spp,0,0,0
Control,4,29,False,False,Prostrate or Mat-forming Forb/Herb,Dichondra repens,0,0,0
Control,4,29,False,False,Small Non-tufted grass/sedge,Aira spp.,0,3,0
Control,4,29,False,False,Small Tufted grass/sedge,Rytidosperma geniculata,0,0,0
Control,4,29,False,False,Small Tufted grass/sedge,Rytidosperma spp.,0,3,0
Control,4,30,False,False,Large Forb/Herb,Conyza sumatrensis,0,0,0
Control,4,30,False,False,Large Forb/Herb,Lomandra longifolia,15,15,25
Control,4,30,False,False,Large Forb/Herb,Senecio phelleus,0,0,0
Control,4,30,False,False,Large Forb/Herb,Senecio spp,0,3,0
Control,4,30,False,False,Large Forb/Herb,Sonchus spp,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Centaurium erythraea,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Cotula australis,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Euchiton involucratis,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Gnaphalium sp,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Hydrocotyle foveolata,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Hypochaeris spp,0,3,0
Control,4,30,False,False,Medium Forb/Herb,Lagenophora spp,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Lomandra filiformis,0,0,0
Control,4,30,False,False,Medium Forb/Herb,Oxalis (native),0,0,0
Control,4,30,False,False,Medium Forb/Herb,Oxalis sp 2.,0,0,0
