Plot_treatment,Plot_number,Quadrat_number,Year_monitoring,Scientific Name,Score
Control,6,11,6,Carex breviculmis,[0.5]
Control,6,11,6,Cotula australis,[0.5]
Control,6,11,6,Crassula sieberiana s.l.,[0.5]
Control,6,11,6,Daucus glochidiatus,[0.5]
Control,6,11,6,Hypericum gramineum,[0.5]
Control,6,11,6,Hypochoeris radicata,[0.5]
Control,6,11,6,Lomandra longifolia,[6.0]
Control,6,11,6,Microlaena stipoides var. stipoides,[2.0]
Control,6,11,6,Oxalis perennans,[0.5]
Control,6,11,6,Poranthera microphylla s.l.,[0.5]
Control,6,11,6,Rytidosperma nivicolum,[1.0]
Control,6,11,6,Scutellaria humilis,[0.5]
Control,6,11,6,Senecio quadridentatus,[0.5]
Control,6,11,6,Sonchus oleraceus,[0.5]
Control,6,12,0,Aira spp.,[0.5]
Control,6,12,0,Briza minor,[0.5]
Control,6,12,0,Cotula australis,[0.5]
Control,6,12,0,Crassula sieberiana s.l.,[0.5]
Control,6,12,0,Dipodium punctatum s.l.,[0.5]
Control,6,12,0,Euchiton involucratus s.l.,[0.5]
Control,6,12,0,Gnaphalium indutum,[0.5]
Control,6,12,0,Hydrocotyle laxiflora,[0.5]
Control,6,12,0,Lomandra longifolia,[7.0]
Control,6,12,0,Microlaena stipoides var. stipoides,[0.5]
Control,6,12,0,Poranthera microphylla s.l.,[0.5]
Control,6,12,0,Pteridium esculentum,[1.0]
Control,6,12,0,Rytidosperma nivicolum,[1.0]
Control,6,12,3,Briza minor,[0.5]
Control,6,12,3,Cotula australis,[0.5]
Control,6,12,3,Dichondra repens,[0.5]
Control,6,12,3,Geranium solanderi s.l.,[0.5]
Control,6,12,3,Hydrocotyle laxiflora,[1.0]
Control,6,12,3,Hypericum gramineum,[0.5]
Control,6,12,3,Hypochoeris radicata,[1.0]
Control,6,12,3,Lagenophora gracilis,[0.5]
Control,6,12,3,Lomandra longifolia,[8.0]
Control,6,12,3,Microlaena stipoides var. stipoides,[0.5]
Control,6,12,3,Poa sieberiana,[1.0]
Control,6,12,3,Pteridium esculentum,[1.0]
Control,6,12,3,Rytidosperma nivicolum,[0.5]
Control,6,12,6,Aira spp.,[0.5]
Control,6,12,6,Briza minor,[0.5]
Control,6,12,6,Cerastium glomeratum s.l.,[0.5]
Control,6,12,6,Cotula australis,[0.5]
Control,6,12,6,Crassula sieberiana s.l.,[0.5]
Control,6,12,6,Daucus glochidiatus,[0.5]
Control,6,12,6,Dichondra repens,[0.5]
Control,6,12,6,Hydrocotyle laxiflora,[0.5]
Control,6,12,6,Lomandra longifolia,[7.0]
Control,6,12,6,Microlaena stipoides var. stipoides,[1.0]
Control,6,12,6,Pteridium esculentum,[0.5]
Control,6,12,6,Rytidosperma nivicolum,[0.5]
Control,6,12,6,Senecio quadridentatus,[0.5]
Control,6,13,0,Aira spp.,[0.5]
Control,6,13,0,Anagallis arvensis,[0.5]
Control,6,13,0,Cotula australis,[0.5]
Control,6,13,0,Dactylis glomerata,[0.5]
Control,6,13,0,Dichondra repens,[0.5]
Control,6,13,0,Dipodium punctatum s.l.,[0.5]
Control,6,13,0,Euchiton involucratus s.l.,[0.5]
Control,6,13,0,Hypochoeris radicata,[0.5]
Control,6,13,0,Lagenophora gracilis,[0.5]
Control,6,13,0,Lomandra longifolia,[3.0]
Control,6,13,0,Microlaena stipoides var. stipoides,[1.0]
Control,6,13,0,Oxalis corniculata s.s.,[0.5]
Control,6,13,0,Poa sieberiana,[0.5]
Control,6,13,0,Poranthera microphylla s.l.,[0.5]
Control,6,13,0,Rytidosperma nivicolum,[2.0]
Control,6,13,0,Sonchus oleraceus,[0.5]
Control,6,13,0,Wahlenbergia gracilis,[0.5]
Control,6,13,3,Anagallis arvensis,[0.5]
Control,6,13,3,Briza minor,[1.0]
Control,6,13,3,Cotula australis,[0.5]
Control,6,13,3,Dichondra repens,[1.0]
Control,6,13,3,Gahnia radula,[1.0]
Control,6,13,3,Hydrocotyle laxiflora,[1.0]
Control,6,13,3,Hypochoeris radicata,[1.0]
Control,6,13,3,Lagenophora gracilis,[0.5]
Control,6,13,3,Lomandra longifolia,[4.0]
Control,6,13,3,Microlaena stipoides var. stipoides,[1.0]
Control,6,13,3,Oxalis corniculata s.s.,[1.0]
Control,6,13,3,Poa sieberiana,[0.5]
Control,6,13,3,Rytidosperma nivicolum,[0.5]
Control,6,13,3,Senecio quadridentatus,[1.0]
Control,6,13,3,Wahlenbergia gracilis,[0.5]
Control,6,13,6,Aira spp.,[0.5]
Control,6,13,6,Briza minor,[1.0]
Control,6,13,6,Cotula australis,[0.5]
Control,6,13,6,Crassula sieberiana s.l.,[0.5]
Control,6,13,6,Dichondra repens,[0.5]
Control,6,13,6,Imperata cylindrica,[1.0]
Control,6,13,6,Lagenophora gracilis,[0.5]
Control,6,13,6,Lomandra longifolia,[4.0]
Control,6,13,6,Microlaena stipoides var. stipoides,[0.5]
Control,6,13,6,Poa sp. aff. tenera (Hairy),[0.5]
Control,6,14,0,Aira spp.,[0.5]
Control,6,14,0,Austrostipa rudis,[0.5]
Control,6,14,0,Bauera spp.,[0.5]
Control,6,14,0,Briza minor,[0.5]
Control,6,14,0,Centaurium erythraea,[0.5]
Control,6,14,0,Conyza sumatrensis,[0.5]
Control,6,14,0,Dichondra repens,[2.0]
Control,6,14,0,Gahnia radula,[1.0]
Control,6,14,0,Hydrocotyle laxiflora,[0.5]
Control,6,14,0,Hypericum gramineum,[0.5]
Control,6,14,0,Hypochoeris radicata,[0.5]
Control,6,14,0,Imperata cylindrica,[0.5]
Control,6,14,0,Luzula meridionalis,[0.5]
Control,6,14,0,Microlaena stipoides var. stipoides,[5.0]
Control,6,14,0,Poa sieberiana,[0.5]
Control,6,14,0,Poranthera microphylla s.l.,[0.5]
Control,6,14,0,Rytidosperma nivicolum,[0.5]
Control,6,14,0,Veronica plebeia,[0.5]
Control,6,14,0,Wahlenbergia gracilis,[0.5]
Control,6,14,3,Arthropodium minus,[1.0]
Control,6,14,3,Briza minor,[0.5]
Control,6,14,3,Carex breviculmis,[0.5]
Control,6,14,3,Centaurium erythraea,[0.5]
Control,6,14,3,Cotula australis,[0.5]
Control,6,14,3,Dichondra repens,[1.0]
Control,6,14,3,Hydrocotyle laxiflora,[2.0]
Control,6,14,3,Lagenophora gracilis,[0.5]
Control,6,14,3,Lomandra glauca s.l.,[0.5]
Control,6,14,3,Lomandra longifolia,[0.5]
Control,6,14,3,Luzula meridionalis,[2.0]
Control,6,14,3,Oxalis hirta,[0.5]
Control,6,14,3,Poa sieberiana,[1.0]
Control,6,14,3,Poranthera microphylla s.l.,[1.0]
Control,6,14,3,Veronica plebeia,[1.0]
Control,6,14,6,Carex breviculmis,[0.5]
Control,6,14,6,Crassula sieberiana s.l.,[0.5]
Control,6,14,6,Dichondra repens,[0.5]
Control,6,14,6,Hypericum gramineum,[0.5]
Control,6,14,6,Imperata cylindrica,[0.5]
Control,6,14,6,Lagenophora gracilis,[0.5]
Control,6,14,6,Lomandra longifolia,[1.0]
Control,6,14,6,Microlaena stipoides var. stipoides,[0.5]
Control,6,14,6,Poa sp. aff. tenera (Hairy),[1.0]
Control,6,14,6,Rytidosperma nivicolum,[1.0]
Control,6,14,6,Senecio quadridentatus,[0.5]
Control,6,15,0,Aira spp.,[0.5]
Control,6,15,0,Austrostipa rudis,[0.5]
Control,6,15,0,Briza minor,[0.5]
Control,6,15,0,Conyza sumatrensis,[0.5]
Control,6,15,0,Crassula sieberiana s.l.,[0.5]
Control,6,15,0,Dichondra repens,[0.5]
Control,6,15,0,Euchiton involucratus s.l.,[0.5]
Control,6,15,0,Gahnia radula,[0.5]
Control,6,15,0,Hypericum gramineum,[0.5]
Control,6,15,0,Hypochoeris radicata,[0.5]
Control,6,15,0,Imperata cylindrica,[0.5]
Control,6,15,0,Lagenophora gracilis,[0.5]
Control,6,15,0,Lomandra filiformis,[0.5]
Control,6,15,0,Lomandra longifolia,[2.0]
Control,6,15,0,Poa sieberiana,[0.5]
Control,6,15,0,Rytidosperma nivicolum,[4.0]
Control,6,15,0,Wahlenbergia gracilis,[0.5]
Control,6,15,3,Aira spp.,[1.0]
Control,6,15,3,Austrostipa rudis,[0.5]
Control,6,15,3,Briza minor,[0.5]
Control,6,15,3,Conyza sumatrensis,[0.5]
Control,6,15,3,Corybas incurvus,[0.5]
Control,6,15,3,Cotula australis,[0.5]
Control,6,15,3,Dichondra repens,[1.0]
Control,6,15,3,Gahnia radula,[0.5]
Control,6,15,3,Hydrocotyle laxiflora,[1.0]
Control,6,15,3,Hypericum gramineum,[0.5]
Control,6,15,3,Hypochoeris radicata,[1.0]
Control,6,15,3,Imperata cylindrica,[1.0]
Control,6,15,3,Lagenophora gracilis,[0.5]
Control,6,15,3,Lomandra longifolia,[2.0]
Control,6,15,3,Microlaena stipoides var. stipoides,[1.0]
Control,6,15,3,Rytidosperma nivicolum,[2.0]
Control,6,15,3,Veronica plebeia,[0.5]
Control,6,15,6,Aira spp.,[0.5]
Control,6,15,6,Brachyscome aculeata,[0.5]
Control,6,15,6,Carex breviculmis,[0.5]
Control,6,15,6,Crassula sieberiana s.l.,[1.0]
Control,6,15,6,Dichondra repens,[0.5]
Control,6,15,6,Euchiton involucratus s.l.,[0.5]
Control,6,15,6,Hydrocotyle laxiflora,[0.5]
Control,6,15,6,Hypericum gramineum,[0.5]
Control,6,15,6,Imperata cylindrica,[0.5]
Control,6,15,6,Lagenophora gracilis,[0.5]
Control,6,15,6,Lomandra longifolia,[4.0]
Control,6,15,6,Poa sp. aff. tenera (Hairy),[0.5]
Control,6,15,6,Rytidosperma nivicolum,[1.0]
Control,6,15,6,Senecio quadridentatus,"[0.5, 0.5]"
Control,6,15,6,Stellaria flaccida,[0.5]
Control,6,16,0,Arthropodium minus,[0.5]
Control,6,16,0,Austrostipa rudis,[0.5]
Control,6,16,0,Conyza sumatrensis,[0.5]
Control,6,16,0,Cotula australis,[0.5]
Control,6,16,0,Euchiton involucratus s.l.,[0.5]
Control,6,16,0,Gahnia radula,[0.5]
Control,6,16,0,Hypochoeris radicata,[0.5]
Control,6,16,0,Lagenophora gracilis,[0.5]
Control,6,16,0,Microlaena stipoides var. stipoides,[1.0]
Control,6,16,0,Oxalis corniculata s.s.,[0.5]
Control,6,16,0,Rytidosperma nivicolum,[1.0]
Control,6,16,0,Wahlenbergia gracilis,[0.5]
Control,6,16,3,Anagallis arvensis,[0.5]
Control,6,16,3,Euchiton involucratus s.l.,[0.5]
Control,6,16,3,Hypochoeris radicata,[0.5]
Control,6,16,3,Microlaena stipoides var. stipoides,[0.5]
Control,6,16,3,Poa sieberiana,[0.5]
Control,6,16,3,Rytidosperma nivicolum,[0.5]
Control,6,16,6,Crassula sieberiana s.l.,[0.5]
Control,6,16,6,Euchiton involucratus s.l.,[0.5]
Control,6,16,6,Gahnia radula,[0.5]
Control,6,16,6,Lagenophora gracilis,[0.5]
Control,6,16,6,Microlaena stipoides var. stipoides,[0.5]
Control,6,16,6,Rytidosperma nivicolum,"[1.0, 0.5]"
Control,6,16,6,Senecio quadridentatus,[0.5]
Control,11,1,0,Aira spp.,[0.5]
Control,11,1,0,Arthropodium minus,[0.5]
Control,11,1,0,Cotula australis,[0.5]
Control,11,1,0,Crassula sieberiana s.l.,[0.5]
Control,11,1,0,Dichondra repens,[0.5]
Control,11,1,0,Hydrocotyle laxiflora,[0.5]
Control,11,1,0,Hypericum gramineum,[0.5]
Control,11,1,0,Hypochoeris radicata,[0.5]
Control,11,1,0,Linaria pelisseriana,[0.5]
Control,11,1,0,Microlaena stipoides var. stipoides,[0.5]
Control,11,1,0,Oxalis hirta,[0.5]
Control,11,1,0,Rytidosperma nivicolum,[3.0]
Control,11,1,0,Senecio quadridentatus,[0.5]
Control,11,1,3,Aira spp.,[1.0]
Control,11,1,3,Arthropodium minus,[0.5]
Control,11,1,3,Briza minor,[0.5]
Control,11,1,3,Cotula australis,[0.5]
Control,11,1,3,Crassula sieberiana s.l.,[0.5]
Control,11,1,3,Dichondra repens,[0.5]
Control,11,1,3,Dipodium punctatum s.l.,[0.5]
Control,11,1,3,Einadia nutans subsp. nutans,[0.5]
Control,11,1,3,Hypericum gramineum,[0.5]
Control,11,1,3,Hypochoeris radicata,[1.0]
Control,11,1,3,Lomandra filiformis,[0.5]
Control,11,1,3,Lomandra longifolia,[0.5]
Control,11,1,3,Microlaena stipoides var. stipoides,[0.5]
Control,11,1,3,Oxalis hirta,[0.5]
Control,11,1,3,Poranthera microphylla s.l.,[0.5]
Control,11,1,3,Rytidosperma nivicolum,[1.0]
Control,11,1,3,Senecio quadridentatus,[0.5]
Control,11,1,6,Arthropodium strictum s.l.,[1.0]
Control,11,1,6,Cotula australis,[0.5]
Control,11,1,6,Crassula sieberiana s.l.,[1.0]
Control,11,1,6,Dichondra repens,[0.5]
Control,11,1,6,Einadia nutans subsp. nutans,[0.5]
Control,11,1,6,Hydrocotyle laxiflora,[0.5]
Control,11,1,6,Hypericum gramineum,[0.5]
Control,11,1,6,Hypochoeris radicata,[0.5]
Control,11,1,6,Lagenophora gracilis,[0.5]
Control,11,1,6,Lomandra filiformis,[0.5]
Control,11,1,6,Lomandra longifolia,[0.5]
Control,11,1,6,Microlaena stipoides var. stipoides,[0.5]
Control,11,1,6,Oxalis hirta,[0.5]
Control,11,1,6,Rytidosperma nivicolum,[2.0]
Control,11,2,0,Aira spp.,[0.5]
Control,11,2,0,Anagallis arvensis,[0.5]
Control,11,2,0,Arthropodium minus,[0.5]
Control,11,2,0,Briza minor,[0.5]
Control,11,2,0,Carex breviculmis,[0.5]
Control,11,2,0,Conyza sumatrensis,[0.5]
Control,11,2,0,Dichondra repens,[2.0]
Control,11,2,0,Einadia nutans subsp. nutans,[0.5]
Control,11,2,0,Gahnia radula,[0.5]
Control,11,2,0,Hydrocotyle laxiflora,[0.5]
Control,11,2,0,Hypochoeris radicata,[0.5]
Control,11,2,0,Microlaena stipoides var. stipoides,[0.5]
Control,11,2,0,Oxalis hirta,[0.5]
Control,11,2,0,Poranthera microphylla s.l.,[0.5]
Control,11,2,0,Rytidosperma nivicolum,[2.0]
Control,11,2,0,Tricoryne elatior,[0.5]
Control,11,2,3,Aira spp.,[0.5]
Control,11,2,3,Briza minor,[0.5]
Control,11,2,3,Centaurium erythraea,[0.5]
Control,11,2,3,Cerastium glomeratum s.l.,[0.5]
Control,11,2,3,Dichondra repens,[1.0]
Control,11,2,3,Einadia nutans subsp. nutans,[0.5]
Control,11,2,3,Euchiton involucratus s.l.,[0.5]
Control,11,2,3,Hypericum gramineum,[0.5]
Control,11,2,3,Hypochoeris radicata,[1.0]
Control,11,2,3,Lagenophora gracilis,[0.5]
Control,11,2,3,Lomandra longifolia,[0.5]
Control,11,2,3,Microlaena stipoides var. stipoides,[0.5]
Control,11,2,3,Oxalis hirta,[0.5]
Control,11,2,3,Poranthera microphylla s.l.,[0.5]
Control,11,2,3,Rytidosperma nivicolum,[1.0]
Control,11,2,3,Senecio quadridentatus,[0.5]
Control,11,2,6,Arthropodium strictum s.l.,[0.5]
Control,11,2,6,Cotula australis,[0.5]
Control,11,2,6,Crassula sieberiana s.l.,[1.0]
Control,11,2,6,Einadia nutans subsp. nutans,[1.0]
Control,11,2,6,Euchiton involucratus s.l.,[0.5]
Control,11,2,6,Hydrocotyle laxiflora,[0.5]
Control,11,2,6,Hypericum gramineum,[0.5]
Control,11,2,6,Hypochoeris radicata,[0.5]
Control,11,2,6,Lagenophora gracilis,[0.5]
Control,11,2,6,Lomandra filiformis,[0.5]
Control,11,2,6,Microlaena stipoides var. stipoides,[0.5]
Control,11,2,6,Poranthera microphylla s.l.,[0.5]
Control,11,2,6,Rytidosperma nivicolum,"[0.5, 0.5]"
Control,11,2,6,Stellaria media,[0.5]
Control,11,3,0,Aira spp.,[1.0]
Control,11,3,0,Briza minor,[1.0]
Control,11,3,0,Centaurium erythraea,[0.5]
Control,11,3,0,Conyza sumatrensis,[0.5]
Control,11,3,0,Cotula australis,[0.5]
Control,11,3,0,Crassula sieberiana s.l.,[0.5]
Control,11,3,0,Dichondra repens,[1.0]
Control,11,3,0,Euchiton involucratus s.l.,[0.5]
Control,11,3,0,Galium australe,[0.5]
Control,11,3,0,Hypericum gramineum,[0.5]
Control,11,3,0,Hypochoeris radicata,[1.0]
Control,11,3,0,Linaria pelisseriana,[0.5]
Control,11,3,0,Microlaena stipoides var. stipoides,[1.0]
Control,11,3,0,Poranthera microphylla s.l.,[0.5]
Control,11,3,0,Rytidosperma nivicolum,[1.0]
Control,11,3,0,Sonchus oleraceus,[0.5]
Control,11,3,3,Aira spp.,[0.5]
Control,11,3,3,Briza minor,[0.5]
Control,11,3,3,Cerastium glomeratum s.l.,[0.5]
Control,11,3,3,Cotula australis,[0.5]
Control,11,3,3,Crassula sieberiana s.l.,[0.5]
Control,11,3,3,Dichondra repens,[3.0]
Control,11,3,3,Einadia nutans subsp. nutans,[0.5]
Control,11,3,3,Hypericum gramineum,[0.5]
Control,11,3,3,Hypochoeris radicata,[1.0]
Control,11,3,3,Linaria pelisseriana,[0.5]
Control,11,3,3,Microlaena stipoides var. stipoides,[1.0]
Control,11,3,3,Oxalis hirta,[0.5]
Control,11,3,3,Rytidosperma nivicolum,[1.0]
Control,11,3,6,Aira spp.,[0.5]
Control,11,3,6,Anagallis arvensis,[0.5]
Control,11,3,6,Briza minor,[0.5]
Control,11,3,6,Cotula australis,[0.5]
Control,11,3,6,Crassula sieberiana s.l.,[1.0]
Control,11,3,6,Einadia nutans subsp. nutans,[0.5]
Control,11,3,6,Hydrocotyle foveolata,[0.5]
Control,11,3,6,Hypericum gramineum,[0.5]
Control,11,3,6,Hypochoeris glabra,[1.0]
Control,11,3,6,Lomandra longifolia,[0.5]
Control,11,3,6,Microlaena stipoides var. stipoides,[0.5]
Control,11,3,6,Oxalis corniculata s.s.,[0.5]
Control,11,3,6,Oxalis hirta,[0.5]
Control,11,3,6,Rytidosperma nivicolum,"[0.5, 1.0]"
Control,11,3,6,Stellaria media,[0.5]
Control,11,4,0,Aira spp.,[0.5]
Control,11,4,0,Anagallis arvensis,[0.5]
Control,11,4,0,Arthropodium minus,[0.5]
Control,11,4,0,Austrostipa rudis,[2.0]
Control,11,4,0,Briza minor,[0.5]
Control,11,4,0,Cotula australis,[0.5]
Control,11,4,0,Dichondra repens,[1.0]
Control,11,4,0,Einadia nutans subsp. nutans,[0.5]
Control,11,4,0,Hydrocotyle laxiflora,[0.5]
Control,11,4,0,Hypericum gramineum,[1.0]
Control,11,4,0,Hypochoeris radicata,[0.5]
Control,11,4,0,Lomandra longifolia,[0.5]
Control,11,4,0,Microlaena stipoides var. stipoides,[5.0]
Control,11,4,0,Oxalis hirta,[0.5]
Control,11,4,0,Poranthera microphylla s.l.,[0.5]
Control,11,4,0,Rytidosperma nivicolum,[4.0]
Control,11,4,0,Sporobolus africanus,[0.5]
Control,11,4,3,Aira spp.,[0.5]
Control,11,4,3,Anagallis arvensis,[0.5]
Control,11,4,3,Austrostipa rudis,[1.0]
Control,11,4,3,Briza minor,[0.5]
Control,11,4,3,Cerastium glomeratum s.l.,[0.5]
Control,11,4,3,Dichondra repens,[1.0]
Control,11,4,3,Dipodium punctatum s.l.,[0.5]
Control,11,4,3,Einadia nutans subsp. nutans,[0.5]
Control,11,4,3,Hydrocotyle laxiflora,[0.5]
Control,11,4,3,Hypericum gramineum,[0.5]
Control,11,4,3,Hypochoeris radicata,[1.0]
Control,11,4,3,Lagenophora gracilis,[0.5]
Control,11,4,3,Linaria pelisseriana,[0.5]
Control,11,4,3,Lomandra longifolia,[0.5]
Control,11,4,3,Microlaena stipoides var. stipoides,[2.0]
Control,11,4,3,Oxalis hirta,[0.5]
Control,11,4,3,Poranthera microphylla s.l.,[0.5]
Control,11,4,3,Rytidosperma nivicolum,[1.0]
Control,11,4,3,Senecio quadridentatus,[0.5]
Control,11,4,6,Aira spp.,[0.5]
Control,11,4,6,Anagallis arvensis,[0.5]
Control,11,4,6,Arthropodium strictum s.l.,[0.5]
Control,11,4,6,Austrostipa scabra,[1.0]
Control,11,4,6,Briza minor,[0.5]
Control,11,4,6,Cotula australis,[0.5]
Control,11,4,6,Crassula sieberiana s.l.,[0.5]
Control,11,4,6,Hydrocotyle laxiflora,[0.5]
Control,11,4,6,Hypericum gramineum,[0.5]
Control,11,4,6,Hypochoeris radicata,[0.5]
Control,11,4,6,Lagenophora gracilis,[0.5]
Control,11,4,6,Lomandra longifolia,[1.0]
Control,11,4,6,Microlaena stipoides var. stipoides,[1.0]
Control,11,4,6,Oxalis hirta,[0.5]
Control,11,4,6,Rytidosperma nivicolum,[0.5]
Control,11,4,6,Senecio quadridentatus,"[0.5, 0.5]"
Control,11,4,6,Stellaria flaccida,[1.0]
Control,11,4,6,Tricoryne elatior,[0.5]
Control,11,5,0,Aira spp.,[0.5]
Control,11,5,0,Anagallis arvensis,[0.5]
Control,11,5,0,Arthropodium minus,[0.5]
Control,11,5,0,Briza minor,[0.5]
Control,11,5,0,Dichondra repens,[7.0]
Control,11,5,0,Einadia nutans subsp. nutans,[0.5]
Control,11,5,0,Euchiton involucratus s.l.,[0.5]
Control,11,5,0,Gnaphalium indutum,[0.5]
Control,11,5,0,Hypericum gramineum,[0.5]
Control,11,5,0,Hypochoeris radicata,[0.5]
Control,11,5,0,Lagenophora gracilis,[0.5]
Control,11,5,0,Microlaena stipoides var. stipoides,[2.0]
Control,11,5,0,Oxalis hirta,[0.5]
Control,11,5,0,Poranthera microphylla s.l.,[0.5]
Control,11,5,0,Rytidosperma nivicolum,[4.0]
Control,11,5,0,Senecio quadridentatus,[0.5]
Control,11,5,0,Stellaria flaccida,[0.5]
Control,11,5,0,Wahlenbergia gracilis,[0.5]
Control,11,5,3,Aira spp.,[0.5]
Control,11,5,3,Briza minor,[0.5]
Control,11,5,3,Cerastium glomeratum s.l.,[0.5]
Control,11,5,3,Dichondra repens,[5.0]
Control,11,5,3,Hypericum gramineum,[0.5]
Control,11,5,3,Hypochoeris radicata,[0.5]
Control,11,5,3,Lagenophora gracilis,[0.5]
Control,11,5,3,Microlaena stipoides var. stipoides,[1.0]
Control,11,5,3,Oxalis hirta,[0.5]
Control,11,5,3,Rytidosperma nivicolum,[0.5]
Control,11,5,3,Senecio quadridentatus,[0.5]
Control,11,5,3,Stellaria flaccida,[0.5]
Control,11,5,3,Wahlenbergia gracilis,[0.5]
Control,11,5,6,Austrostipa scabra,[0.5]
Control,11,5,6,Briza minor,[0.5]
Control,11,5,6,Cirsium vulgare,[0.5]
Control,11,5,6,Crassula sieberiana s.l.,[0.5]
Control,11,5,6,Dichondra repens,[0.5]
Control,11,5,6,Galium australe,[0.5]
Control,11,5,6,Hypericum gramineum,[0.5]
Control,11,5,6,Hypochoeris radicata,[0.5]
Control,11,5,6,Lagenophora gracilis,[0.5]
Control,11,5,6,Microlaena stipoides var. stipoides,[0.5]
Control,11,5,6,Rytidosperma nivicolum,"[0.5, 0.5]"
Control,11,5,6,Stellaria flaccida,[0.5]
Control,11,6,0,Dichondra repens,[1.0]
Control,11,6,0,Hydrocotyle laxiflora,[0.5]
Control,11,6,0,Hypericum gramineum,[0.5]
Control,11,6,0,Hypochoeris radicata,[0.5]
Control,11,6,0,Microlaena stipoides var. stipoides,[1.0]
Control,11,6,0,Rytidosperma nivicolum,[7.0]
Control,11,6,0,Veronica plebeia,[1.0]
Control,11,6,0,Wahlenbergia gracilis,[0.5]
Control,11,6,3,Aira spp.,[0.5]
Control,11,6,3,Centaurium erythraea,[0.5]
Control,11,6,3,Cerastium glomeratum s.l.,[0.5]
Control,11,6,3,Dichondra repens,[1.0]
Control,11,6,3,Euchiton involucratus s.l.,[0.5]
Control,11,6,3,Hypericum gramineum,[1.0]
Control,11,6,3,Hypochoeris radicata,[0.5]
Control,11,6,3,Lagenophora gracilis,[0.5]
Control,11,6,3,Lomandra longifolia,[0.5]
Control,11,6,3,Microlaena stipoides var. stipoides,[0.5]
Control,11,6,3,Oxalis hirta,[0.5]
Control,11,6,3,Poa sieberiana,[0.5]
Control,11,6,3,Rytidosperma nivicolum,[3.0]
Control,11,6,3,Senecio quadridentatus,[0.5]
Control,11,6,3,Veronica plebeia,[0.5]
Control,11,6,3,Wahlenbergia gracilis,[0.5]
Control,11,6,6,Anagallis arvensis,[0.5]
Control,11,6,6,Arthropodium strictum s.l.,[0.5]
Control,11,6,6,Briza minor,[0.5]
Control,11,6,6,Cotula australis,[0.5]
Control,11,6,6,Crassula sieberiana s.l.,[0.5]
Control,11,6,6,Einadia nutans subsp. nutans,[0.5]
Control,11,6,6,Euchiton involucratus s.l.,[0.5]
Control,11,6,6,Hypericum gramineum,[0.5]
Control,11,6,6,Hypochoeris radicata,[0.5]
Control,11,6,6,Lachnagrostis filiformis,[7.0]
Control,11,6,6,Lagenophora gracilis,[0.5]
Control,11,6,6,Lomandra longifolia,[1.0]
Control,11,6,6,Microlaena stipoides var. stipoides,[0.5]
Control,11,6,6,Oxalis hirta,[0.5]
Control,11,6,6,Poranthera microphylla s.l.,[0.5]
Control,11,6,6,Rytidosperma nivicolum,[1.0]
Control,11,6,6,Senecio quadridentatus,[0.5]
Control,11,6,6,Stellaria flaccida,[0.5]
Control,11,6,6,Vulpia bromoides,[0.5]
Control,11,6,6,Wahlenbergia gracilis,[0.5]
Control,11,7,0,Aira spp.,[0.5]
Control,11,7,0,Briza minor,[0.5]
Control,11,7,0,Centaurium erythraea,[0.5]
Control,11,7,0,Dichondra repens,[9.0]
Control,11,7,0,Hypericum gramineum,[0.5]
Control,11,7,0,Hypochoeris radicata,[0.5]
Control,11,7,0,Lagenophora gracilis,[0.5]
Control,11,7,0,Microlaena stipoides var. stipoides,[1.0]
Control,11,7,0,Poranthera microphylla s.l.,[0.5]
Control,11,7,0,Rytidosperma nivicolum,[2.0]
Control,11,7,3,Aira spp.,[0.5]
Control,11,7,3,Anagallis arvensis,[0.5]
Control,11,7,3,Briza minor,[1.0]
Control,11,7,3,Centaurium erythraea,[0.5]
Control,11,7,3,Dichondra repens,[7.0]
Control,11,7,3,Dipodium punctatum s.l.,[0.5]
Control,11,7,3,Hypericum gramineum,[0.5]
Control,11,7,3,Hypochoeris radicata,[0.5]
Control,11,7,3,Lagenophora gracilis,[0.5]
Control,11,7,3,Microlaena stipoides var. stipoides,[1.0]
Control,11,7,3,Rytidosperma nivicolum,[1.0]
Control,11,7,3,Sonchus oleraceus,[0.5]
Control,11,7,6,Aira spp.,[0.5]
Control,11,7,6,Anagallis arvensis,[0.5]
Control,11,7,6,Austrostipa scabra,[0.5]
Control,11,7,6,Briza minor,[0.5]
Control,11,7,6,Cotula australis,[0.5]
Control,11,7,6,Galium australe,[0.5]
Control,11,7,6,Hypericum gramineum,[0.5]
Control,11,7,6,Hypochoeris radicata,[0.5]
Control,11,7,6,Lagenophora gracilis,[0.5]
Control,11,7,6,Microlaena stipoides var. stipoides,[1.0]
Control,11,7,6,Oxalis hirta,[0.5]
Control,11,7,6,Rytidosperma nivicolum,"[0.5, 1.0]"
Control,11,7,6,Stellaria flaccida,[0.5]
Control,11,7,6,Thysanotus patersonii,[0.5]
Control,11,8,0,Aira spp.,[1.0]
Control,11,8,0,Briza minor,[0.5]
Control,11,8,0,Centaurium erythraea,[0.5]
Control,11,8,0,Cotula australis,[0.5]
Control,11,8,0,Crassula sieberiana s.l.,[0.5]
Control,11,8,0,Dichondra repens,[0.5]
Control,11,8,0,Einadia nutans subsp. nutans,[0.5]
Control,11,8,0,Hydrocotyle laxiflora,[0.5]
Control,11,8,0,Hypochoeris radicata,[0.5]
Control,11,8,0,Lomandra longifolia,[0.5]
Control,11,8,0,Microlaena stipoides var. stipoides,[3.0]
